分拣中心,日期,货量
SC44,2023/9/28,15473
SC44,2023/10/11,17764
SC44,2023/9/11,15341
SC44,2023/11/29,17027
SC44,2023/9/7,16369
SC44,2023/11/13,25381
SC44,2023/8/1,15734
SC44,2023/9/23,16624
SC44,2023/9/20,16788
SC44,2023/8/11,14227
SC44,2023/11/18,18456
SC44,2023/11/14,20146
SC44,2023/9/26,18654
SC44,2023/9/16,15683
SC44,2023/10/21,15544
SC44,2023/10/25,24242
SC44,2023/10/8,17528
SC44,2023/11/9,20501
SC44,2023/8/2,15370
SC44,2023/11/6,21083
SC44,2023/11/12,32427
SC44,2023/10/15,16177
SC44,2023/8/8,13701
SC44,2023/11/16,18163
SC44,2023/10/3,12879
SC44,2023/8/16,15688
SC44,2023/10/12,17069
SC44,2023/11/5,18608
SC44,2023/9/2,16170
SC44,2023/10/22,14705
SC44,2023/9/5,15820
SC44,2023/8/10,14613
SC44,2023/9/30,13855
SC44,2023/9/4,15861
SC44,2023/8/28,15438
SC44,2023/8/19,15522
SC44,2023/10/14,16335
SC44,2023/11/19,16745
SC44,2023/9/17,14757
SC44,2023/10/16,15827
SC44,2023/10/9,16838
SC44,2023/10/17,17145
SC44,2023/11/10,18700
SC44,2023/8/9,14828
SC44,2023/9/14,15707
SC44,2023/11/17,19114
SC44,2023/9/18,15465
SC44,2023/9/6,15933
SC44,2023/11/30,16945
SC44,2023/8/5,14669
SC44,2023/8/25,15213
SC44,2023/8/29,15755
SC44,2023/10/10,16920
SC44,2023/10/5,14758
SC44,2023/11/1,34140
SC44,2023/8/18,15641
SC44,2023/8/31,15778
SC44,2023/11/23,17143
SC44,2023/10/29,16085
SC44,2023/8/26,15095
SC44,2023/9/19,17064
SC44,2023/8/3,15204
SC44,2023/8/12,13459
SC44,2023/9/21,17005
SC44,2023/10/31,16366
SC44,2023/8/24,15756
SC44,2023/9/27,17748
SC44,2023/8/14,14203
SC44,2023/9/29,14020
SC44,2023/8/15,14406
SC44,2023/10/13,17458
SC44,2023/8/13,12568
SC44,2023/9/3,15731
SC44,2023/11/22,17462
SC44,2023/10/26,19216
SC44,2023/11/21,17253
SC44,2023/8/21,16726
SC44,2023/11/24,16670
SC44,2023/9/8,15223
SC44,2023/9/24,16381
SC44,2023/11/8,20578
SC44,2023/8/22,16686
SC44,2023/8/7,13606
SC44,2023/10/23,15095
SC44,2023/9/22,17139
SC44,2023/10/27,19469
SC44,2023/11/15,19642
SC44,2023/10/19,15344
SC44,2023/10/6,15077
SC44,2023/11/3,21500
SC44,2023/10/7,16565
SC44,2023/10/30,16465
SC44,2023/11/4,20533
SC44,2023/8/30,15687
SC44,2023/10/4,13495
SC44,2023/10/28,17238
SC44,2023/11/2,26563
SC44,2023/9/10,15361
SC44,2023/8/17,15465
SC44,2023/10/20,16912
SC44,2023/11/7,20494
SC44,2023/9/25,17668
SC44,2023/11/20,17929
SC44,2023/8/27,14407
SC44,2023/8/23,15389
SC44,2023/9/12,15697
SC44,2023/9/1,16252
SC44,2023/8/4,15346
SC44,2023/10/1,13198
SC44,2023/9/13,15412
SC44,2023/9/9,16889
SC44,2023/11/26,14739
SC44,2023/8/20,15716
SC44,2023/10/24,21697
SC44,2023/10/18,17314
SC44,2023/11/25,15932
SC44,2023/9/15,16200
SC44,2023/11/28,16447
SC44,2023/11/11,37653
SC44,2023/8/6,13542
SC44,2023/10/2,12280
SC44,2023/11/27,15878
