分拣中心,日期,货量
SC52,2023/10/28,5174
SC52,2023/9/19,3731
SC52,2023/11/5,4315
SC52,2023/11/11,17103
SC52,2023/8/14,2582
SC52,2023/8/10,2754
SC52,2023/9/9,4294
SC52,2023/8/23,2814
SC52,2023/8/20,2461
SC52,2023/9/15,4703
SC52,2023/8/9,2582
SC52,2023/10/26,3553
SC52,2023/10/7,2987
SC52,2023/10/9,2724
SC52,2023/9/12,3137
SC52,2023/11/26,2789
SC52,2023/8/25,4883
SC52,2023/9/10,2732
SC52,2023/9/21,3700
SC52,2023/10/30,3080
SC52,2023/8/5,3781
SC52,2023/10/23,3992
SC52,2023/10/29,3843
SC52,2023/11/1,14469
SC52,2023/8/15,2930
SC52,2023/10/21,3550
SC52,2023/8/2,3253
SC52,2023/8/26,3887
SC52,2023/8/7,2696
SC52,2023/11/16,3796
SC52,2023/11/19,2748
SC52,2023/11/28,3052
SC52,2023/8/13,2477
SC52,2023/8/6,3074
SC52,2023/10/4,1989
SC52,2023/11/9,4983
SC52,2023/9/23,4621
SC52,2023/8/28,2887
SC52,2023/10/12,2903
SC52,2023/8/11,3458
SC52,2023/8/12,3417
SC52,2023/8/4,3989
SC52,2023/9/17,3116
SC52,2023/9/1,5581
SC52,2023/10/5,2326
SC52,2023/11/15,3547
SC52,2023/10/24,8476
SC52,2023/9/7,4493
SC52,2023/9/13,3301
SC52,2023/8/24,3830
SC52,2023/10/19,3426
SC52,2023/11/13,10256
SC52,2023/10/13,4017
SC52,2023/8/29,3323
SC52,2023/11/3,5820
SC52,2023/9/6,3485
SC52,2023/9/26,3827
SC52,2023/8/17,2997
SC52,2023/11/20,2886
SC52,2023/11/14,3856
SC52,2023/9/28,3914
SC52,2023/9/27,4008
SC52,2023/9/30,2514
SC52,2023/11/4,6177
SC52,2023/9/22,4033
SC52,2023/8/21,2576
SC52,2023/9/4,2916
SC52,2023/10/27,6859
SC52,2023/11/7,5121
SC52,2023/11/2,9649
SC52,2023/9/3,3174
SC52,2023/9/5,3081
SC52,2023/11/22,2979
SC52,2023/10/6,2577
SC52,2023/11/17,4571
SC52,2023/10/8,2836
SC52,2023/10/14,3734
SC52,2023/10/15,2810
SC52,2023/9/24,3751
SC52,2023/10/18,2682
SC52,2023/10/1,2685
SC52,2023/11/18,3866
SC52,2023/11/27,2901
SC52,2023/9/16,4356
SC52,2023/10/22,2347
SC52,2023/11/12,13542
SC52,2023/10/31,6108
SC52,2023/10/17,3372
SC52,2023/8/1,4320
SC52,2023/9/18,2787
SC52,2023/8/31,2888
SC52,2023/8/27,2792
SC52,2023/8/18,3730
SC52,2023/9/11,2647
SC52,2023/8/8,2781
SC52,2023/11/23,2997
SC52,2023/8/30,3359
SC52,2023/10/2,1968
SC52,2023/8/22,2981
SC52,2023/11/24,4202
SC52,2023/10/16,2642
SC52,2023/9/8,4476
SC52,2023/11/29,3045
SC52,2023/11/30,3559
SC52,2023/11/10,6944
SC52,2023/11/6,3458
SC52,2023/10/11,3068
SC52,2023/8/3,2787
SC52,2023/8/16,2765
SC52,2023/9/2,4767
SC52,2023/10/25,3874
SC52,2023/10/3,1970
SC52,2023/9/29,2662
SC52,2023/8/19,3387
SC52,2023/11/21,2926
SC52,2023/11/8,5075
SC52,2023/9/14,3188
SC52,2023/10/20,5894
SC52,2023/11/25,3665
SC52,2023/10/10,3258
SC52,2023/9/20,3937
SC52,2023/9/25,3385
