分拣中心,日期,货量
SC36,2023/8/9,660
SC36,2023/11/9,858
SC36,2023/10/8,780
SC36,2023/8/2,740
SC36,2023/11/30,788
SC36,2023/8/23,801
SC36,2023/11/10,1084
SC36,2023/10/4,315
SC36,2023/10/17,758
SC36,2023/9/1,1318
SC36,2023/9/19,563
SC36,2023/10/30,578
SC36,2023/10/25,778
SC36,2023/10/7,611
SC36,2023/8/5,670
SC36,2023/10/5,455
SC36,2023/8/14,574
SC36,2023/11/20,482
SC36,2023/8/25,759
SC36,2023/9/17,603
SC36,2023/8/21,660
SC36,2023/9/11,708
SC36,2023/8/13,569
SC36,2023/11/15,630
SC36,2023/9/27,616
SC36,2023/11/7,862
SC36,2023/10/14,425
SC36,2023/10/20,379
SC36,2023/10/9,565
SC36,2023/8/16,669
SC36,2023/9/26,642
SC36,2023/11/2,1189
SC36,2023/11/18,474
SC36,2023/8/24,601
SC36,2023/9/18,621
SC36,2023/11/1,2157
SC36,2023/9/14,764
SC36,2023/11/4,793
SC36,2023/9/13,1006
SC36,2023/11/5,785
SC36,2023/8/15,762
SC36,2023/9/9,862
SC36,2023/9/4,1076
SC36,2023/9/3,943
SC36,2023/10/31,906
SC36,2023/8/3,643
SC36,2023/10/16,482
SC36,2023/10/11,671
SC36,2023/9/24,718
SC36,2023/9/20,1019
SC36,2023/11/28,653
SC36,2023/10/18,659
SC36,2023/10/29,478
SC36,2023/8/19,520
SC36,2023/10/12,586
SC36,2023/8/20,461
SC36,2023/10/21,390
SC36,2023/11/11,2463
SC36,2023/8/27,595
SC36,2023/10/13,632
SC36,2023/11/29,773
SC36,2023/11/12,1389
SC36,2023/9/28,393
SC36,2023/10/28,612
SC36,2023/11/14,579
SC36,2023/10/26,916
SC36,2023/8/17,590
SC36,2023/11/24,543
SC36,2023/10/2,238
SC36,2023/11/21,623
SC36,2023/10/15,529
SC36,2023/8/7,565
SC36,2023/11/27,613
SC36,2023/10/6,470
SC36,2023/9/7,1216
SC36,2023/9/8,967
SC36,2023/10/23,632
SC36,2023/11/19,572
SC36,2023/8/6,627
SC36,2023/8/30,1171
SC36,2023/9/10,819
SC36,2023/11/6,758
SC36,2023/9/30,205
SC36,2023/8/10,841
SC36,2023/10/27,656
SC36,2023/10/24,618
SC36,2023/11/13,597
SC36,2023/8/12,544
SC36,2023/8/11,652
SC36,2023/9/21,808
SC36,2023/9/5,972
SC36,2023/9/29,207
SC36,2023/8/22,610
SC36,2023/9/6,892
SC36,2023/8/4,699
SC36,2023/8/31,1189
SC36,2023/9/15,851
SC36,2023/11/3,1210
SC36,2023/8/8,595
SC36,2023/9/16,549
SC36,2023/11/26,499
SC36,2023/8/28,709
SC36,2023/8/1,846
SC36,2023/11/22,695
SC36,2023/9/23,505
SC36,2023/11/8,913
SC36,2023/10/22,363
SC36,2023/11/23,666
SC36,2023/10/1,311
SC36,2023/9/2,940
SC36,2023/9/22,930
SC36,2023/8/29,818
SC36,2023/11/16,650
SC36,2023/10/3,233
SC36,2023/10/19,377
SC36,2023/9/12,805
SC36,2023/8/26,561
SC36,2023/8/18,658
SC36,2023/11/17,590
SC36,2023/10/10,652
SC36,2023/11/25,376
SC36,2023/9/25,907
