分拣中心,日期,货量
SC38,2023/11/22,3621
SC38,2023/9/15,4015
SC38,2023/8/19,3582
SC38,2023/11/24,3552
SC38,2023/9/14,4049
SC38,2023/10/29,4443
SC38,2023/10/17,3835
SC38,2023/9/10,3559
SC38,2023/9/5,3970
SC38,2023/10/24,8662
SC38,2023/11/10,6938
SC38,2023/9/27,4189
SC38,2023/8/8,3585
SC38,2023/8/28,3842
SC38,2023/11/1,13610
SC38,2023/8/3,3461
SC38,2023/8/6,3274
SC38,2023/10/8,4047
SC38,2023/9/4,4162
SC38,2023/8/23,3733
SC38,2023/8/11,3515
SC38,2023/8/1,3696
SC38,2023/11/16,3579
SC38,2023/10/31,6540
SC38,2023/9/7,4806
SC38,2023/9/17,3830
SC38,2023/8/21,3690
SC38,2023/9/28,3738
SC38,2023/11/25,3566
SC38,2023/9/23,4028
SC38,2023/10/22,3542
SC38,2023/10/12,3786
SC38,2023/8/10,3593
SC38,2023/11/2,7010
SC38,2023/9/19,4261
SC38,2023/11/20,3783
SC38,2023/8/14,3617
SC38,2023/8/27,3663
SC38,2023/9/25,4265
SC38,2023/10/18,3730
SC38,2023/8/29,3836
SC38,2023/11/7,5339
SC38,2023/9/22,4258
SC38,2023/8/22,3544
SC38,2023/8/24,3806
SC38,2023/10/16,3886
SC38,2023/9/24,4242
SC38,2023/10/9,3441
SC38,2023/10/25,5764
SC38,2023/11/26,3469
SC38,2023/9/26,4416
SC38,2023/9/12,3904
SC38,2023/10/11,3887
SC38,2023/8/9,3726
SC38,2023/11/19,3469
SC38,2023/9/30,3283
SC38,2023/10/1,3187
SC38,2023/10/14,3582
SC38,2023/8/16,3620
SC38,2023/10/27,5308
SC38,2023/10/6,3752
SC38,2023/10/2,3091
SC38,2023/8/25,3810
SC38,2023/10/4,3358
SC38,2023/8/12,3307
SC38,2023/11/5,4989
SC38,2023/11/13,4196
SC38,2023/10/5,3412
SC38,2023/10/19,4109
SC38,2023/11/21,3880
SC38,2023/11/27,3804
SC38,2023/10/10,4312
SC38,2023/10/7,4206
SC38,2023/9/2,4288
SC38,2023/8/2,3708
SC38,2023/10/3,3183
SC38,2023/9/11,3863
SC38,2023/10/13,3651
SC38,2023/8/15,3687
SC38,2023/11/29,3889
SC38,2023/11/12,7509
SC38,2023/10/26,5005
SC38,2023/11/11,13808
SC38,2023/9/21,4460
SC38,2023/9/3,3817
SC38,2023/11/3,5674
SC38,2023/9/18,4047
SC38,2023/10/23,5055
SC38,2023/11/9,4768
SC38,2023/11/30,3893
SC38,2023/9/8,4337
SC38,2023/9/16,4189
SC38,2023/10/30,4634
SC38,2023/8/20,3360
SC38,2023/9/6,4337
SC38,2023/8/18,3657
SC38,2023/11/8,5395
SC38,2023/8/7,3429
SC38,2023/8/5,3325
SC38,2023/9/1,4828
SC38,2023/10/15,3416
SC38,2023/9/20,4459
SC38,2023/8/13,3177
SC38,2023/11/18,3380
SC38,2023/9/13,3979
SC38,2023/11/4,5393
SC38,2023/8/4,3378
SC38,2023/8/17,3680
SC38,2023/11/6,5139
SC38,2023/9/29,3497
SC38,2023/11/23,3659
SC38,2023/10/20,4256
SC38,2023/9/9,4286
SC38,2023/10/21,3733
SC38,2023/11/14,3416
SC38,2023/8/30,3789
SC38,2023/11/28,3875
SC38,2023/11/17,3408
SC38,2023/8/31,3692
SC38,2023/8/26,3633
SC38,2023/11/15,3394
SC38,2023/10/28,5025
