分拣中心,日期,货量
SC10,2023/10/24,38214
SC10,2023/9/26,31735
SC10,2023/10/4,22961
SC10,2023/11/19,39593
SC10,2023/8/13,19260
SC10,2023/8/21,21599
SC10,2023/9/28,29798
SC10,2023/10/28,39733
SC10,2023/8/22,22825
SC10,2023/8/2,20483
SC10,2023/10/25,42661
SC10,2023/11/20,42166
SC10,2023/11/12,65150
SC10,2023/10/3,22581
SC10,2023/10/6,26844
SC10,2023/8/10,20821
SC10,2023/9/2,26602
SC10,2023/11/5,37583
SC10,2023/8/26,22670
SC10,2023/11/23,43155
SC10,2023/11/28,38005
SC10,2023/8/31,25541
SC10,2023/11/29,40407
SC10,2023/8/17,21988
SC10,2023/11/8,38895
SC10,2023/10/16,31044
SC10,2023/9/9,25070
SC10,2023/9/1,25605
SC10,2023/11/10,42631
SC10,2023/8/4,20166
SC10,2023/10/29,35983
SC10,2023/11/26,39039
SC10,2023/8/15,20453
SC10,2023/9/4,23238
SC10,2023/8/23,22108
SC10,2023/10/27,38084
SC10,2023/10/13,30385
SC10,2023/9/25,29238
SC10,2023/10/1,19562
SC10,2023/11/24,41172
SC10,2023/10/15,29662
SC10,2023/9/5,25825
SC10,2023/8/11,20911
SC10,2023/11/22,42839
SC10,2023/9/20,28749
SC10,2023/10/23,34390
SC10,2023/11/7,41142
SC10,2023/11/6,36970
SC10,2023/8/8,19756
SC10,2023/8/6,19716
SC10,2023/8/18,23710
SC10,2023/9/19,25383
SC10,2023/9/29,28590
SC10,2023/11/25,38895
SC10,2023/9/24,31112
SC10,2023/10/17,32167
SC10,2023/9/30,23604
SC10,2023/10/7,31103
SC10,2023/11/1,56065
SC10,2023/9/10,23297
SC10,2023/10/30,35811
SC10,2023/11/3,52988
SC10,2023/8/28,22531
SC10,2023/9/6,26200
SC10,2023/10/22,33256
SC10,2023/11/16,44099
SC10,2023/8/24,22048
SC10,2023/9/23,32594
SC10,2023/10/14,31416
SC10,2023/11/15,44352
SC10,2023/9/12,24180
SC10,2023/11/17,45782
SC10,2023/9/18,24496
SC10,2023/8/1,19533
SC10,2023/9/14,25149
SC10,2023/11/2,56182
SC10,2023/8/20,21915
SC10,2023/10/11,29914
SC10,2023/10/31,39608
SC10,2023/8/16,22603
SC10,2023/10/19,34279
SC10,2023/10/5,25194
SC10,2023/10/12,28094
SC10,2023/8/5,21161
SC10,2023/9/8,25254
SC10,2023/9/21,29149
SC10,2023/10/10,29141
SC10,2023/11/21,43146
SC10,2023/9/15,25750
SC10,2023/9/27,33244
SC10,2023/9/13,25809
SC10,2023/8/12,20578
SC10,2023/9/7,25857
SC10,2023/10/18,34503
SC10,2023/10/21,33897
SC10,2023/11/11,62147
SC10,2023/8/25,23200
SC10,2023/8/14,19200
SC10,2023/10/2,20713
SC10,2023/8/7,19273
SC10,2023/11/4,45587
SC10,2023/11/27,37856
SC10,2023/11/30,39418
SC10,2023/8/9,21234
SC10,2023/10/20,34464
SC10,2023/10/26,39431
SC10,2023/9/17,24913
SC10,2023/8/30,24273
SC10,2023/8/29,24233
SC10,2023/10/8,29053
SC10,2023/9/16,25489
SC10,2023/10/9,29406
SC10,2023/11/14,54883
SC10,2023/9/22,28720
SC10,2023/11/9,39553
SC10,2023/9/3,24753
SC10,2023/9/11,22073
SC10,2023/8/19,24223
SC10,2023/8/3,20768
SC10,2023/8/27,23390
SC10,2023/11/18,42261
SC10,2023/11/13,57625
