分拣中心,日期,货量
SC41,2023/11/16,1734
SC41,2023/10/8,1898
SC41,2023/9/28,1632
SC41,2023/9/30,1473
SC41,2023/10/5,1743
SC41,2023/10/20,1548
SC41,2023/8/5,1654
SC41,2023/11/27,1587
SC41,2023/10/19,1611
SC41,2023/10/10,1819
SC41,2023/11/7,2264
SC41,2023/10/30,2437
SC41,2023/8/4,1723
SC41,2023/10/6,1859
SC41,2023/9/16,1915
SC41,2023/8/1,1714
SC41,2023/8/8,1712
SC41,2023/8/10,1759
SC41,2023/11/2,3143
SC41,2023/10/15,1511
SC41,2023/10/12,1769
SC41,2023/9/22,1692
SC41,2023/11/19,1378
SC41,2023/11/26,1484
SC41,2023/9/3,1954
SC41,2023/11/12,4306
SC41,2023/8/24,108
SC41,2023/8/21,2025
SC41,2023/9/18,2051
SC41,2023/10/7,2132
SC41,2023/10/3,1562
SC41,2023/11/1,7027
SC41,2023/9/1,1916
SC41,2023/11/13,1918
SC41,2023/11/14,1505
SC41,2023/10/21,1393
SC41,2023/10/25,2919
SC41,2023/11/17,1382
SC41,2023/9/13,2062
SC41,2023/10/1,1612
SC41,2023/11/8,2148
SC41,2023/8/30,2224
SC41,2023/8/15,1912
SC41,2023/9/2,2119
SC41,2023/10/29,2332
SC41,2023/11/29,1654
SC41,2023/9/19,1993
SC41,2023/9/12,2190
SC41,2023/9/29,1425
SC41,2023/10/14,1609
SC41,2023/11/15,1437
SC41,2023/9/25,1894
SC41,2023/11/20,1602
SC41,2023/11/4,2248
SC41,2023/10/24,3888
SC41,2023/11/30,1576
SC41,2023/9/20,1805
SC41,2023/8/25,4418
SC41,2023/11/18,1348
SC41,2023/8/13,1823
SC41,2023/9/8,1808
SC41,2023/9/27,1845
SC41,2023/8/18,1916
SC41,2023/11/5,2124
SC41,2023/10/31,3921
SC41,2023/8/6,1599
SC41,2023/8/17,1942
SC41,2023/11/6,2157
SC41,2023/8/28,2215
SC41,2023/10/18,1674
SC41,2023/8/27,2134
SC41,2023/11/22,1507
SC41,2023/9/10,2042
SC41,2023/9/15,2051
SC41,2023/8/3,1789
SC41,2023/10/27,2454
SC41,2023/8/7,1725
SC41,2023/10/28,2623
SC41,2023/9/9,3073
SC41,2023/8/19,1834
SC41,2023/10/16,1954
SC41,2023/11/3,2767
SC41,2023/11/28,1652
SC41,2023/11/24,1527
SC41,2023/10/23,1440
SC41,2023/9/7,2092
SC41,2023/8/11,1764
SC41,2023/9/5,2142
SC41,2023/8/9,1919
SC41,2023/9/17,1896
SC41,2023/10/26,2411
SC41,2023/11/21,1531
SC41,2023/9/11,2271
SC41,2023/9/23,1699
SC41,2023/8/2,1741
SC41,2023/8/16,1912
SC41,2023/11/25,1558
SC41,2023/8/20,1856
SC41,2023/10/13,1716
SC41,2023/10/22,1374
SC41,2023/8/14,2003
SC41,2023/11/10,3504
SC41,2023/10/2,1565
SC41,2023/9/24,1722
SC41,2023/10/11,1821
SC41,2023/9/21,1748
SC41,2023/11/9,2191
SC41,2023/9/6,2083
SC41,2023/11/11,7352
SC41,2023/8/29,2107
SC41,2023/8/31,1956
SC41,2023/8/23,2133
SC41,2023/10/9,1801
SC41,2023/11/23,1585
SC41,2023/10/17,1748
SC41,2023/10/4,1727
SC41,2023/9/14,2187
SC41,2023/9/4,2145
SC41,2023/8/22,2257
SC41,2023/9/26,1779
SC41,2023/8/26,3199
SC41,2023/8/12,1827
