SC_ID,date,value
SC66,2023/11/4,724
SC66,2023/9/3,941
SC66,2023/8/3,822
SC66,2023/8/17,923
SC66,2023/8/16,970
SC66,2023/11/8,769
SC66,2023/10/4,822
SC66,2023/8/21,1238
SC66,2023/9/19,879
SC66,2023/10/7,788
SC66,2023/8/29,963
SC66,2023/10/23,625
SC66,2023/11/12,1258
SC66,2023/11/14,708
SC66,2023/9/21,896
SC66,2023/8/23,900
SC66,2023/10/19,631
SC66,2023/11/25,707
SC66,2023/8/31,975
SC66,2023/9/30,804
SC66,2023/9/26,961
SC66,2023/11/30,758
SC66,2023/10/21,619
SC66,2023/8/18,938
SC66,2023/10/13,643
SC66,2023/8/1,988
SC66,2023/10/5,706
SC66,2023/10/24,1093
SC66,2023/9/1,1402
SC66,2023/10/17,672
SC66,2023/11/26,678
SC66,2023/8/10,826
SC66,2023/10/18,670
SC66,2023/8/19,947
SC66,2023/9/29,772
SC66,2023/9/12,962
SC66,2023/10/20,620
SC66,2023/8/6,733
SC66,2023/8/8,759
SC66,2023/9/17,900
SC66,2023/8/25,864
SC66,2023/8/2,979
SC66,2023/11/3,751
SC66,2023/9/20,907
SC66,2023/11/5,686
SC66,2023/8/24,869
SC66,2023/9/9,1591
SC66,2023/8/5,737
SC66,2023/11/10,730
SC66,2023/8/26,874
SC66,2023/10/30,740
SC66,2023/10/3,794
SC66,2023/9/23,873
SC66,2023/8/13,762
SC66,2023/10/15,658
SC66,2023/11/13,812
SC66,2023/11/27,730
SC66,2023/8/9,1145
SC66,2023/10/12,688
SC66,2023/9/7,949
SC66,2023/10/2,761
SC66,2023/8/22,1121
SC66,2023/9/13,942
SC66,2023/9/14,986
SC66,2023/9/4,1009
SC66,2023/11/1,1480
SC66,2023/10/16,671
SC66,2023/9/2,1038
SC66,2023/9/5,955
SC66,2023/9/6,980
SC66,2023/11/24,686
SC66,2023/9/27,846
SC66,2023/10/9,704
SC66,2023/8/20,953
SC66,2023/9/10,957
SC66,2023/11/7,763
SC66,2023/8/4,789
SC66,2023/10/6,717
SC66,2023/11/28,709
SC66,2023/10/8,722
SC66,2023/8/27,941
SC66,2023/9/11,988
SC66,2023/10/27,714
SC66,2023/8/11,781
SC66,2023/11/15,709
SC66,2023/10/25,836
SC66,2023/9/18,950
SC66,2023/10/28,708
SC66,2023/10/29,703
SC66,2023/10/1,852
SC66,2023/10/11,711
SC66,2023/11/18,723
SC66,2023/11/9,784
SC66,2023/11/2,848
SC66,2023/11/17,710
SC66,2023/11/23,700
SC66,2023/11/6,735
SC66,2023/9/15,803
SC66,2023/9/22,834
SC66,2023/9/8,860
SC66,2023/9/28,743
SC66,2023/9/25,1035
SC66,2023/8/7,775
SC66,2023/8/28,1028
SC66,2023/11/29,760
SC66,2023/9/16,863
SC66,2023/10/10,686
SC66,2023/8/14,842
SC66,2023/11/20,729
SC66,2023/11/21,719
SC66,2023/11/22,682
SC66,2023/10/26,774
SC66,2023/8/15,881
SC66,2023/9/24,932
SC66,2023/10/31,644
SC66,2023/10/22,586
SC66,2023/10/14,668
SC66,2023/8/30,1008
SC66,2023/8/12,796
SC66,2023/11/19,713
SC66,2023/11/11,1860
SC66,2023/11/16,713
