分拣中心,日期,货量
SC1,2023/12/1,51059.53
SC2,2023/12/2,49599.69
SC3,2023/12/3,19862.05
SC4,2023/12/4,16033.63
SC5,2023/12/5,15615.71
SC6,2023/12/6,15602.49
SC7,2023/12/7,17447.76
SC8,2023/12/8,17880.34
SC9,2023/12/9,19870.15
SC10,2023/12/10,22468.16
SC12,2023/12/11,25986.51
SC14,2023/12/12,30370.74
SC15,2023/12/13,28722.18
SC16,2023/12/14,25446.3
SC17,2023/12/15,25125.74
SC18,2023/12/16,19843.39
SC19,2023/12/17,18530.2
SC20,2023/12/18,18926.41
SC21,2023/12/19,18227.05
SC22,2023/12/20,17680.32
SC23,2023/12/21,17733.47
SC24,2023/12/22,20596.67
SC25,2023/12/23,20269.38
SC26,2023/12/24,19707.41
SC27,2023/12/25,19810.86
SC28,2023/12/26,19108.4
SC29,2023/12/27,19118.99
SC30,2023/12/28,19046.46
SC31,2023/12/29,19222.7
SC32,2023/12/30,19394.57
SC34,2023/12/1,35891.5
SC35,2023/12/2,33900.43
SC36,2023/12/3,30302.6
SC37,2023/12/4,25675.95
SC38,2023/12/5,24529.95
SC39,2023/12/6,24828.27
SC40,2023/12/7,23102.05
SC41,2023/12/8,23471.54
SC43,2023/12/9,25636.48
SC44,2023/12/10,28601.5
SC46,2023/12/11,31327.21
SC47,2023/12/12,31772.64
SC48,2023/12/13,29408.32
SC49,2023/12/14,38834.85
SC51,2023/12/15,37721.28
SC52,2023/12/16,28303.81
SC53,2023/12/17,27791.59
SC54,2023/12/18,27055.61
SC55,2023/12/19,26446.65
SC56,2023/12/20,25139.31
SC57,2023/12/21,24848.44
SC58,2023/12/22,24653.42
SC60,2023/12/23,24302.25
SC61,2023/12/24,24796.65
SC63,2023/12/25,24161.11
SC66,2023/12/26,23883.88
SC68,2023/12/27,24052.96
SC1,2023/12/28,34543.22
SC2,2023/12/29,34909.13
SC3,2023/12/30,13214.34
SC4,2023/12/1,24017.65
SC5,2023/12/2,21303.33
SC6,2023/12/3,19862.05
SC7,2023/12/4,18222.29
SC8,2023/12/5,17544.59
SC9,2023/12/6,17475.05
SC10,2023/12/7,17455.86
SC12,2023/12/8,17966.55
SC14,2023/12/9,25286.77
SC15,2023/12/10,28282.1
SC16,2023/12/11,30133.25
SC17,2023/12/12,30119.54
SC18,2023/12/13,24853.4
SC19,2023/12/14,21719.96
SC20,2023/12/15,22957.21
SC21,2023/12/16,21038.26
SC22,2023/12/17,19704.46
SC23,2023/12/18,18798.47
SC24,2023/12/19,21285.26
SC25,2023/12/20,20730.73
SC26,2023/12/21,20807.35
SC27,2023/12/22,20650.31
SC28,2023/12/23,20163.98
SC29,2023/12/24,19664.37
SC30,2023/12/25,19669.02
SC31,2023/12/26,19108.4
SC32,2023/12/27,19118.99
SC34,2023/12/28,18721.91
SC35,2023/12/29,18884.67
SC36,2023/12/30,19514.62
SC37,2023/12/1,38660.41
SC38,2023/12/2,34870.96
SC39,2023/12/3,30302.6
SC40,2023/12/4,23596.39
SC41,2023/12/5,22686.15
SC43,2023/12/6,22837.38
SC44,2023/12/7,22923.54
SC46,2023/12/8,23271.85
SC47,2023/12/9,25636.48
SC48,2023/12/10,28601.5
SC49,2023/12/11,47955.99
SC51,2023/12/12,50228.9
SC52,2023/12/13,42210.75
SC53,2023/12/14,32887.62
SC54,2023/12/15,32335.53
SC55,2023/12/16,28968.11
SC56,2023/12/17,28711.94
SC57,2023/12/18,26568.6
SC58,2023/12/19,25278.96
SC60,2023/12/20,25139.31
SC61,2023/12/21,24848.44
SC63,2023/12/22,24653.42
SC66,2023/12/23,24302.25
SC68,2023/12/24,24796.65
SC1,2023/12/25,36852.72
SC2,2023/12/26,35347.44
SC3,2023/12/27,13069.62
SC4,2023/12/28,12742.64
SC5,2023/12/29,13040.68
SC6,2023/12/30,13214.34
SC7,2023/12/1,29127.78
SC8,2023/12/2,24661.12
SC9,2023/12/3,22193.81
SC10,2023/12/4,18274.65
SC12,2023/12/5,17590.68
SC14,2023/12/6,23014.63
SC15,2023/12/7,23224.03
SC16,2023/12/8,23390.11
SC17,2023/12/9,25268.23
SC18,2023/12/10,24441.4
SC19,2023/12/11,26623.23
SC20,2023/12/12,29073.23
SC21,2023/12/13,26737.04
SC22,2023/12/14,23425.14
SC23,2023/12/15,22960.46
SC24,2023/12/16,24334.6
SC25,2023/12/17,23325.14
SC26,2023/12/18,22333.18
SC27,2023/12/19,21339.19
SC28,2023/12/20,20647.5
SC29,2023/12/21,20693.2
SC30,2023/12/22,20487.23
SC31,2023/12/23,20163.98
SC32,2023/12/24,19664.37
SC34,2023/12/25,19276.15
SC35,2023/12/26,18794.14
SC36,2023/12/27,19248.29
SC37,2023/12/28,19161.76
SC38,2023/12/29,19277.44
SC39,2023/12/30,19514.62
SC40,2023/12/1,35133.97
SC41,2023/12/2,31914.69
SC43,2023/12/3,27636.67
SC44,2023/12/4,23429
SC46,2023/12/5,22518.76
SC47,2023/12/6,22837.38
SC48,2023/12/7,22923.54
SC49,2023/12/8,37533.69
SC51,2023/12/9,40657.97
SC52,2023/12/10,40627
SC53,2023/12/11,44918.07
SC54,2023/12/12,46617.3
SC55,2023/12/13,42061.2
SC56,2023/12/14,32572.38
SC57,2023/12/15,31120.42
SC58,2023/12/16,28805.16
SC60,2023/12/17,28711.94
SC61,2023/12/18,26568.6
SC63,2023/12/19,25278.96
SC66,2023/12/20,25139.31
SC68,2023/12/21,24848.44
SC1,2023/12/22,37024.13
SC2,2023/12/23,37226.13
SC3,2023/12/24,12811.5
SC4,2023/12/25,13235.85
SC5,2023/12/26,12921.03
SC6,2023/12/27,13069.62
SC7,2023/12/28,13594.63
SC8,2023/12/29,13833.02
SC9,2023/12/30,14091.7
SC10,2023/12/1,29581.95
SC12,2023/12/2,24963.9
SC14,2023/12/3,27545.03
SC15,2023/12/4,23871.77
SC16,2023/12/5,23070.33
SC17,2023/12/6,23032.13
SC18,2023/12/7,19160.44
SC19,2023/12/8,19618.3
SC20,2023/12/9,22728.25
SC21,2023/12/10,25696.74
SC22,2023/12/11,28858.59
SC23,2023/12/12,29103.44
SC24,2023/12/13,31242.03
SC25,2023/12/14,26844.63
SC26,2023/12/15,25905.59
SC27,2023/12/16,24390.98
SC28,2023/12/17,23263.91
SC29,2023/12/18,22274.35
SC30,2023/12/19,21182.29
SC31,2023/12/20,20647.5
SC32,2023/12/21,20693.2
SC34,2023/12/22,20055.82
SC35,2023/12/23,19883.97
SC36,2023/12/24,19827.35
SC37,2023/12/25,19733.54
SC38,2023/12/26,19205.46
SC39,2023/12/27,19248.29
SC40,2023/12/28,17678.33
SC41,2023/12/29,17799.91
SC43,2023/12/30,17896.92
SC44,2023/12/1,35026.69
SC46,2023/12/2,31751.86
SC47,2023/12/3,27636.67
SC48,2023/12/4,23429
SC49,2023/12/5,37035.34
SC51,2023/12/6,36801.14
SC52,2023/12/7,33124.57
SC53,2023/12/8,33570.22
SC54,2023/12/9,35769.6
SC55,2023/12/10,40764.68
SC56,2023/12/11,42278.43
SC57,2023/12/12,43861.79
SC58,2023/12/13,39105
SC60,2023/12/14,32572.38
SC61,2023/12/15,31120.42
SC63,2023/12/16,28805.16
SC66,2023/12/17,28711.94
SC68,2023/12/18,26568.6
SC1,2023/12/19,37409.89
SC2,2023/12/20,37123.09
SC3,2023/12/21,13736.47
SC4,2023/12/22,13697.48
SC5,2023/12/23,13536.61
SC6,2023/12/24,12811.5
SC7,2023/12/25,14332.9
SC8,2023/12/26,13710.94
SC9,2023/12/27,13808.86
SC10,2023/12/28,13629.51
SC12,2023/12/29,13871.31
SC14,2023/12/30,18885.66
SC15,2023/12/1,33126.01
SC16,2023/12/2,29831.47
SC17,2023/12/3,27529.23
SC18,2023/12/4,20019.54
SC19,2023/12/5,19144.01
SC20,2023/12/6,20399.35
SC21,2023/12/7,20509.83
SC22,2023/12/8,20817.65
