分拣中心,日期,小时,货量
1,2023/12/1,0,5014.220423725942
2,2023/12/1,0,1203.640643981896
3,2023/12/1,0,1209.900141044311
4,2023/12/1,0,1625.565004208192
5,2023/12/1,0,3020.0917959123467
6,2023/12/1,0,2175.9779693199325
7,2023/12/1,0,4317.93231
8,2023/12/1,0,4299.790487358045
9,2023/12/1,0,2907.2180016168463
10,2023/12/1,0,2955.922430436313
12,2023/12/1,0,652.4958459266567
14,2023/12/1,0,330.1123896847948
15,2023/12/1,0,330.1123896847948
16,2023/12/1,0,189.60436923183673
17,2023/12/1,0,1856.9323004561888
18,2023/12/1,0,718.1201181817454
19,2023/12/1,0,699.5465954397514
20,2023/12/1,0,592.6915363510514
21,2023/12/1,0,487.6705435602776
22,2023/12/1,0,525.7125914082573
23,2023/12/1,0,483.6731286697721
24,2023/12/1,0,677.0027424348633
25,2023/12/1,0,3679.0252880706576
26,2023/12/1,0,3189.1829867747874
27,2023/12/1,0,486.2317551975995
28,2023/12/1,0,486.2317551975995
29,2023/12/1,0,490.25332792731655
30,2023/12/1,0,490.25332792731655
31,2023/12/1,0,936.9818535519748
32,2023/12/1,0,877.8907631056469
34,2023/12/1,0,1059.2587351368254
35,2023/12/1,0,778.7412658306027
36,2023/12/1,0,736.3834150704379
37,2023/12/1,0,718.7219676975782
38,2023/12/1,0,718.7219676975782
39,2023/12/1,0,718.7219676975782
40,2023/12/1,0,718.7219676975782
41,2023/12/1,0,718.7219676975782
43,2023/12/1,0,917.7049152
44,2023/12/1,0,917.7049152
46,2023/12/1,0,4167.9332011839715
47,2023/12/1,0,4167.9332011839715
48,2023/12/1,0,241.1226376258496
49,2023/12/1,0,268.15524276729724
51,2023/12/1,0,1421.313429389186
52,2023/12/1,0,487.90681683869093
53,2023/12/1,0,1820.109854794159
54,2023/12/1,0,749.2839060713335
55,2023/12/1,0,749.2839060713335
56,2023/12/1,0,733.1189562876864
57,2023/12/1,0,975.6065084923309
58,2023/12/1,0,6.190468226402571
60,2023/12/1,0,4497.502133125587
61,2023/12/1,0,123.18613319968735
63,2023/12/1,0,290.3614855524094
66,2023/12/1,0,146.4378874138587
68,2023/12/1,0,143.9660607617722
1,2023/12/1,1,5014.220423725942
2,2023/12/1,1,1271.455993376221
3,2023/12/1,1,1434.6544523120751
4,2023/12/1,1,1635.074053879843
5,2023/12/1,1,2959.7159813306444
6,2023/12/1,1,2552.1124838519963
7,2023/12/1,1,4398.295193079375
8,2023/12/1,1,4385.726780955782
9,2023/12/1,1,2896.1378058631626
10,2023/12/1,1,1884.5014889149516
12,2023/12/1,1,652.9343376310308
14,2023/12/1,1,338.71562405566164
15,2023/12/1,1,338.71562405566164
16,2023/12/1,1,273.28897430821644
17,2023/12/1,1,1868.7365170994378
18,2023/12/1,1,731.8700345776168
