分拣中心,日期,货量
SC35,2023/8/29,25992.0
SC35,2023/11/22,32808.0
SC35,2023/10/9,26014.0
SC35,2023/10/21,27065.0
SC35,2023/9/7,30166.0
SC35,2023/9/3,26954.0
SC35,2023/8/2,21487.0
SC35,2023/8/27,26329.0
SC35,2023/9/20,28190.0
SC35,2023/10/7,24981.0
SC35,2023/10/11,29224.0
SC35,2023/10/2,20413.0
SC35,2023/10/30,27113.0
SC35,2023/11/18,31979.0
SC35,2023/10/4,21596.0
SC35,2023/8/24,25790.0
SC35,2023/9/11,25833.0
SC35,2023/11/23,31565.0
SC35,2023/10/15,26563.0
SC35,2023/9/4,26920.0
SC35,2023/9/13,29280.0
SC35,2023/11/29,31285.0
SC35,2023/11/19,31421.0
SC35,2023/8/3,20067.0
SC35,2023/8/31,27050.0
SC35,2023/9/27,30005.0
SC35,2023/9/9,27041.0
SC35,2023/11/26,30135.0
SC35,2023/11/7,30707.0
SC35,2023/9/28,26474.0
SC35,2023/9/15,27528.0
SC35,2023/8/18,26195.0
SC35,2023/11/21,30072.0
SC35,2023/10/10,26952.0
SC35,2023/10/12,27342.0
SC35,2023/10/24,34513.0
SC35,2023/9/17,25768.0
SC35,2023/9/12,26725.0
SC35,2023/9/1,27145.0
SC35,2023/8/21,24872.0
SC35,2023/10/5,22643.0
SC35,2023/8/10,23029.0
SC35,2023/11/27,29290.0
SC35,2023/9/23,29274.0
SC35,2023/9/24,27844.0
SC35,2023/11/4,30067.0
SC35,2023/10/25,31712.0
SC35,2023/9/29,23793.0
SC35,2023/9/5,29100.0
SC35,2023/8/16,25887.0
SC35,2023/8/11,23145.0
SC35,2023/11/10,32998.0
SC35,2023/9/22,27420.0
SC35,2023/8/28,25408.0
SC35,2023/10/20,28171.0
SC35,2023/11/3,33216.0
SC35,2023/11/17,32755.0
SC35,2023/11/15,33074.0
SC35,2023/9/25,28052.0
SC35,2023/9/19,26104.0
SC35,2023/9/6,28006.0
SC35,2023/9/8,29552.0
SC35,2023/10/26,31443.0
SC35,2023/11/30,29712.0
SC35,2023/10/8,26485.0
SC35,2023/10/3,20046.0
SC35,2023/9/26,29013.0
SC35,2023/10/28,30461.0
SC35,2023/10/16,26050.0
SC35,2023/11/14,33587.0
SC35,2023/10/14,26374.0
SC35,2023/8/12,24605.0
SC35,2023/8/25,27029.0
SC35,2023/9/16,25874.0
SC35,2023/8/1,20958.0
SC35,2023/11/24,31348.0
SC35,2023/8/9,22669.0
SC35,2023/8/5,21213.0
SC35,2023/8/13,23354.0
SC35,2023/11/20,31900.0
SC35,2023/10/22,27317.0
SC35,2023/9/2,28863.0
SC35,2023/10/23,27063.0
SC35,2023/10/27,30114.0
SC35,2023/8/7,20422.0
SC35,2023/8/14,22439.0
SC35,2023/8/19,27769.0
SC35,2023/11/28,30417.0
SC35,2023/8/22,25416.0
SC35,2023/8/4,20139.0
SC35,2023/10/18,26479.0
SC35,2023/8/6,21172.0
SC35,2023/9/18,26520.0
SC35,2023/11/16,32522.0
SC35,2023/8/20,25768.0
SC35,2023/9/10,27175.0
SC35,2023/11/5,31207.0
SC35,2023/10/1,22291.0
SC35,2023/8/15,24531.0
SC35,2023/8/26,25618.0
SC35,2023/10/6,23264.0
SC35,2023/10/31,29836.0
SC35,2023/9/30,23878.0
SC35,2023/8/8,21789.0
SC35,2023/11/6,30999.0
SC35,2023/8/17,26193.0
SC35,2023/11/25,31540.0
SC35,2023/10/29,29579.0
SC35,2023/10/17,27190.0
SC35,2023/9/21,27958.0
SC35,2023/11/9,32634.0
SC35,2023/8/30,27020.0
SC35,2023/10/13,25995.0
SC35,2023/8/23,25983.0
SC35,2023/10/19,27050.0
SC35,2023/11/8,32769.0
SC35,2023/9/14,27488.0
