分拣中心,日期,货量
SC20,2023/11/22,177.0
SC20,2023/9/28,182.0
SC20,2023/11/13,252.0
SC20,2023/11/11,381.0
SC20,2023/10/23,252.0
SC20,2023/9/21,227.0
SC20,2023/10/11,117.0
SC20,2023/8/22,93.0
SC20,2023/8/20,39.0
SC20,2023/10/17,240.0
SC20,2023/8/25,115.0
SC20,2023/9/16,125.0
SC20,2023/10/22,88.0
SC20,2023/10/30,162.0
SC20,2023/8/10,158.0
SC20,2023/10/13,74.0
SC20,2023/11/25,34.0
SC20,2023/8/28,70.0
SC20,2023/10/20,375.0
SC20,2023/10/5,45.0
SC20,2023/8/17,94.0
SC20,2023/11/2,154.0
SC20,2023/11/24,104.0
SC20,2023/10/29,80.0
SC20,2023/8/19,33.0
SC20,2023/8/23,56.0
SC20,2023/11/8,313.0
SC20,2023/10/1,260.0
SC20,2023/9/24,133.0
SC20,2023/10/4,47.0
SC20,2023/8/3,89.0
SC20,2023/10/8,231.0
SC20,2023/8/21,136.0
SC20,2023/10/6,116.0
SC20,2023/10/12,72.0
SC20,2023/9/19,224.0
SC20,2023/8/1,183.0
SC20,2023/11/5,30.0
SC20,2023/11/23,117.0
SC20,2023/9/15,203.0
SC20,2023/9/2,408.0
SC20,2023/11/27,74.0
SC20,2023/9/26,248.0
SC20,2023/10/28,43.0
SC20,2023/11/10,398.0
SC20,2023/11/18,26.0
SC20,2023/8/5,33.0
SC20,2023/11/3,108.0
SC20,2023/9/17,79.0
SC20,2023/9/18,314.0
SC20,2023/8/8,95.0
SC20,2023/10/18,155.0
SC20,2023/10/24,177.0
SC20,2023/8/14,207.0
SC20,2023/9/7,329.0
SC20,2023/8/12,431.0
SC20,2023/9/10,223.0
SC20,2023/10/14,49.0
SC20,2023/11/6,113.0
SC20,2023/9/22,197.0
SC20,2023/11/1,113.0
SC20,2023/8/2,84.0
SC20,2023/10/7,103.0
SC20,2023/10/27,128.0
SC20,2023/11/19,24.0
SC20,2023/9/23,125.0
SC20,2023/10/3,120.0
SC20,2023/8/24,88.0
SC20,2023/9/20,248.0
SC20,2023/11/15,136.0
SC20,2023/8/7,122.0
SC20,2023/11/4,43.0
SC20,2023/8/27,38.0
SC20,2023/8/4,72.0
SC20,2023/10/25,233.0
SC20,2023/11/21,164.0
SC20,2023/11/29,53.0
SC20,2023/10/2,200.0
SC20,2023/11/30,53.0
SC20,2023/9/13,410.0
SC20,2023/8/18,80.0
SC20,2023/8/16,75.0
SC20,2023/9/27,235.0
SC20,2023/9/14,226.0
SC20,2023/8/15,129.0
SC20,2023/11/28,43.0
SC20,2023/9/3,353.0
SC20,2023/10/10,75.0
SC20,2023/10/21,235.0
SC20,2023/10/31,151.0
SC20,2023/8/13,93.0
SC20,2023/8/31,481.0
SC20,2023/11/14,130.0
SC20,2023/10/26,89.0
SC20,2023/9/30,93.0
SC20,2023/9/29,119.0
SC20,2023/8/29,124.0
SC20,2023/9/25,153.0
SC20,2023/8/6,46.0
SC20,2023/11/26,29.0
SC20,2023/10/9,84.0
SC20,2023/8/9,86.0
SC20,2023/11/7,332.0
SC20,2023/9/4,425.0
SC20,2023/11/20,77.0
SC20,2023/10/19,88.0
SC20,2023/8/26,152.0
