分拣中心,日期,班次,正式工,临时工
分拣中心_SC8,2023-12-01,00:00-08:00,0.0,858.0
分拣中心_SC8,2023-12-01,05:00-13:00,60.0,182.0
分拣中心_SC8,2023-12-01,08:00-16:00,0.0,271.0
分拣中心_SC8,2023-12-01,12:00-20:00,0.0,247.0
分拣中心_SC8,2023-12-01,14:00-22:00,0.0,393.0
分拣中心_SC8,2023-12-01,16:00-24:00,0.0,348.0
分拣中心_SC8,2023-12-02,00:00-08:00,0.0,948.0
分拣中心_SC8,2023-12-02,05:00-13:00,0.0,459.0
分拣中心_SC8,2023-12-02,08:00-16:00,0.0,371.0
分拣中心_SC8,2023-12-02,12:00-20:00,0.0,388.0
分拣中心_SC8,2023-12-02,14:00-22:00,60.0,304.0
分拣中心_SC8,2023-12-02,16:00-24:00,0.0,370.0
分拣中心_SC8,2023-12-03,00:00-08:00,0.0,917.0
分拣中心_SC8,2023-12-03,05:00-13:00,0.0,377.0
分拣中心_SC8,2023-12-03,08:00-16:00,0.0,319.0
分拣中心_SC8,2023-12-03,12:00-20:00,0.0,321.0
分拣中心_SC8,2023-12-03,14:00-22:00,0.0,383.0
分拣中心_SC8,2023-12-03,16:00-24:00,60.0,251.0
分拣中心_SC8,2023-12-04,00:00-08:00,0.0,744.0
分拣中心_SC8,2023-12-04,05:00-13:00,60.0,191.0
分拣中心_SC8,2023-12-04,08:00-16:00,0.0,263.0
分拣中心_SC8,2023-12-04,12:00-20:00,0.0,229.0
分拣中心_SC8,2023-12-04,14:00-22:00,0.0,363.0
分拣中心_SC8,2023-12-04,16:00-24:00,0.0,348.0
分拣中心_SC8,2023-12-05,00:00-08:00,0.0,789.0
分拣中心_SC8,2023-12-05,05:00-13:00,0.0,233.0
分拣中心_SC8,2023-12-05,08:00-16:00,0.0,253.0
分拣中心_SC8,2023-12-05,12:00-20:00,0.0,237.0
分拣中心_SC8,2023-12-05,14:00-22:00,0.0,354.0
分拣中心_SC8,2023-12-05,16:00-24:00,60.0,255.0
分拣中心_SC8,2023-12-06,00:00-08:00,0.0,892.0
分拣中心_SC8,2023-12-06,05:00-13:00,0.0,372.0
分拣中心_SC8,2023-12-06,08:00-16:00,0.0,319.0
分拣中心_SC8,2023-12-06,12:00-20:00,0.0,332.0
分拣中心_SC8,2023-12-06,14:00-22:00,0.0,379.0
分拣中心_SC8,2023-12-06,16:00-24:00,60.0,277.0
分拣中心_SC8,2023-12-07,00:00-08:00,0.0,840.0
分拣中心_SC8,2023-12-07,05:00-13:00,0.0,291.0
分拣中心_SC8,2023-12-07,08:00-16:00,0.0,284.0
分拣中心_SC8,2023-12-07,12:00-20:00,0.0,255.0
分拣中心_SC8,2023-12-07,14:00-22:00,0.0,360.0
分拣中心_SC8,2023-12-07,16:00-24:00,60.0,255.0
分拣中心_SC8,2023-12-08,00:00-08:00,0.0,858.0
分拣中心_SC8,2023-12-08,05:00-13:00,0.0,257.0
