分拣中心,日期,班次,正式工,临时工
分拣中心_SC55,2023-12-01,00:00-08:00,7.0,240.0
分拣中心_SC55,2023-12-01,05:00-13:00,39.0,28.0
分拣中心_SC55,2023-12-01,08:00-16:00,7.0,45.0
分拣中心_SC55,2023-12-01,12:00-20:00,7.0,37.0
分拣中心_SC55,2023-12-01,14:00-22:00,0.0,1.0
分拣中心_SC55,2023-12-01,16:00-24:00,0.0,1.0
分拣中心_SC55,2023-12-02,00:00-08:00,8.0,260.0
分拣中心_SC55,2023-12-02,05:00-13:00,7.0,82.0
分拣中心_SC55,2023-12-02,08:00-16:00,7.0,55.0
分拣中心_SC55,2023-12-02,12:00-20:00,35.0,27.0
分拣中心_SC55,2023-12-02,14:00-22:00,3.0,0.0
分拣中心_SC55,2023-12-02,16:00-24:00,0.0,2.0
分拣中心_SC55,2023-12-03,00:00-08:00,7.0,257.0
分拣中心_SC55,2023-12-03,05:00-13:00,30.0,52.0
分拣中心_SC55,2023-12-03,08:00-16:00,6.0,52.0
分拣中心_SC55,2023-12-03,12:00-20:00,7.0,48.0
分拣中心_SC55,2023-12-03,14:00-22:00,8.0,0.0
分拣中心_SC55,2023-12-03,16:00-24:00,2.0,3.0
分拣中心_SC55,2023-12-04,00:00-08:00,7.0,234.0
分拣中心_SC55,2023-12-04,05:00-13:00,39.0,27.0
分拣中心_SC55,2023-12-04,08:00-16:00,7.0,44.0
分拣中心_SC55,2023-12-04,12:00-20:00,7.0,42.0
分拣中心_SC55,2023-12-04,14:00-22:00,0.0,1.0
分拣中心_SC55,2023-12-04,16:00-24:00,0.0,1.0
分拣中心_SC55,2023-12-05,00:00-08:00,7.0,231.0
分拣中心_SC55,2023-12-05,05:00-13:00,39.0,28.0
分拣中心_SC55,2023-12-05,08:00-16:00,7.0,43.0
分拣中心_SC55,2023-12-05,12:00-20:00,7.0,41.0
分拣中心_SC55,2023-12-05,14:00-22:00,0.0,1.0
分拣中心_SC55,2023-12-05,16:00-24:00,0.0,1.0
