分拣中心,日期,班次,正式工,临时工
分拣中心_SC15,2023-12-01,00:00-08:00,27.0,11.0
分拣中心_SC15,2023-12-01,05:00-13:00,10.0,48.0
分拣中心_SC15,2023-12-01,08:00-16:00,7.0,27.0
分拣中心_SC15,2023-12-01,12:00-20:00,5.0,55.0
分拣中心_SC15,2023-12-01,14:00-22:00,7.0,21.0
分拣中心_SC15,2023-12-01,16:00-24:00,4.0,25.0
分拣中心_SC15,2023-12-02,00:00-08:00,7.0,44.0
分拣中心_SC15,2023-12-02,05:00-13:00,7.0,42.0
分拣中心_SC15,2023-12-02,08:00-16:00,3.0,38.0
分拣中心_SC15,2023-12-02,12:00-20:00,31.0,10.0
分拣中心_SC15,2023-12-02,14:00-22:00,11.0,20.0
分拣中心_SC15,2023-12-02,16:00-24:00,1.0,20.0
分拣中心_SC15,2023-12-03,00:00-08:00,0.0,43.0
分拣中心_SC15,2023-12-03,05:00-13:00,20.0,16.0
分拣中心_SC15,2023-12-03,08:00-16:00,5.0,33.0
分拣中心_SC15,2023-12-03,12:00-20:00,6.0,51.0
分拣中心_SC15,2023-12-03,14:00-22:00,17.0,9.0
分拣中心_SC15,2023-12-03,16:00-24:00,12.0,15.0
分拣中心_SC15,2023-12-04,00:00-08:00,4.0,31.0
分拣中心_SC15,2023-12-04,05:00-13:00,29.0,4.0
分拣中心_SC15,2023-12-04,08:00-16:00,3.0,10.0
分拣中心_SC15,2023-12-04,12:00-20:00,8.0,41.0
分拣中心_SC15,2023-12-04,14:00-22:00,9.0,19.0
分拣中心_SC15,2023-12-04,16:00-24:00,7.0,18.0
分拣中心_SC15,2023-12-05,00:00-08:00,6.0,35.0
分拣中心_SC15,2023-12-05,05:00-13:00,15.0,28.0
分拣中心_SC15,2023-12-05,08:00-16:00,7.0,14.0
分拣中心_SC15,2023-12-05,12:00-20:00,4.0,48.0
分拣中心_SC15,2023-12-05,14:00-22:00,5.0,21.0
分拣中心_SC15,2023-12-05,16:00-24:00,23.0,6.0
分拣中心_SC15,2023-12-06,00:00-08:00,7.0,40.0
分拣中心_SC15,2023-12-06,05:00-13:00,15.0,28.0
分拣中心_SC15,2023-12-06,08:00-16:00,4.0,34.0
分拣中心_SC15,2023-12-06,12:00-20:00,14.0,54.0
分拣中心_SC15,2023-12-06,14:00-22:00,5.0,21.0
分拣中心_SC15,2023-12-06,16:00-24:00,15.0,17.0
分拣中心_SC15,2023-12-07,00:00-08:00,4.0,30.0
分拣中心_SC15,2023-12-07,05:00-13:00,3.0,51.0
分拣中心_SC15,2023-12-07,08:00-16:00,17.0,10.0
分拣中心_SC15,2023-12-07,12:00-20:00,4.0,47.0
分拣中心_SC15,2023-12-07,14:00-22:00,7.0,16.0
分拣中心_SC15,2023-12-07,16:00-24:00,25.0,7.0
分拣中心_SC15,2023-12-08,00:00-08:00,7.0,36.0
分拣中心_SC15,2023-12-08,05:00-13:00,5.0,54.0
分拣中心_SC15,2023-12-08,08:00-16:00,6.0,28.0
分拣中心_SC15,2023-12-08,12:00-20:00,11.0,48.0
分拣中心_SC15,2023-12-08,14:00-22:00,7.0,21.0
分拣中心_SC15,2023-12-08,16:00-24:00,23.0,1.0
分拣中心_SC15,2023-12-09,00:00-08:00,7.0,44.0
分拣中心_SC15,2023-12-09,05:00-13:00,7.0,42.0
分拣中心_SC15,2023-12-09,08:00-16:00,4.0,37.0
分拣中心_SC15,2023-12-09,12:00-20:00,35.0,5.0
分拣中心_SC15,2023-12-09,14:00-22:00,6.0,26.0
分拣中心_SC15,2023-12-09,16:00-24:00,1.0,20.0
分拣中心_SC15,2023-12-10,00:00-08:00,21.0,17.0
分拣中心_SC15,2023-12-10,05:00-13:00,6.0,33.0
分拣中心_SC15,2023-12-10,08:00-16:00,1.0,38.0
分拣中心_SC15,2023-12-10,12:00-20:00,12.0,43.0
分拣中心_SC15,2023-12-10,14:00-22:00,7.0,21.0
分拣中心_SC15,2023-12-10,16:00-24:00,13.0,14.0
分拣中心_SC15,2023-12-11,00:00-08:00,4.0,30.0
分拣中心_SC15,2023-12-11,05:00-13:00,15.0,21.0
分拣中心_SC15,2023-12-11,08:00-16:00,11.0,0.0
分拣中心_SC15,2023-12-11,12:00-20:00,10.0,39.0
分拣中心_SC15,2023-12-11,14:00-22:00,12.0,15.0
分拣中心_SC15,2023-12-11,16:00-24:00,8.0,17.0
分拣中心_SC15,2023-12-12,00:00-08:00,6.0,35.0
分拣中心_SC15,2023-12-12,05:00-13:00,8.0,37.0
分拣中心_SC15,2023-12-12,08:00-16:00,13.0,6.0
分拣中心_SC15,2023-12-12,12:00-20:00,5.0,47.0
分拣中心_SC15,2023-12-12,14:00-22:00,9.0,17.0
分拣中心_SC15,2023-12-12,16:00-24:00,19.0,11.0
分拣中心_SC15,2023-12-13,00:00-08:00,0.0,49.0
分拣中心_SC15,2023-12-13,05:00-13:00,37.0,0.0
分拣中心_SC15,2023-12-13,08:00-16:00,9.0,28.0
分拣中心_SC15,2023-12-13,12:00-20:00,7.0,63.0
分拣中心_SC15,2023-12-13,14:00-22:00,7.0,18.0
分拣中心_SC15,2023-12-13,16:00-24:00,0.0,35.0
分拣中心_SC15,2023-12-14,00:00-08:00,8.0,25.0
分拣中心_SC15,2023-12-14,05:00-13:00,9.0,43.0
分拣中心_SC15,2023-12-14,08:00-16:00,7.0,23.0
分拣中心_SC15,2023-12-14,12:00-20:00,11.0,38.0
分拣中心_SC15,2023-12-14,14:00-22:00,17.0,3.0
分拣中心_SC15,2023-12-14,16:00-24:00,8.0,28.0
分拣中心_SC15,2023-12-15,00:00-08:00,13.0,29.0
分拣中心_SC15,2023-12-15,05:00-13:00,4.0,55.0
分拣中心_SC15,2023-12-15,08:00-16:00,21.0,10.0
分拣中心_SC15,2023-12-15,12:00-20:00,7.0,52.0
分拣中心_SC15,2023-12-15,14:00-22:00,7.0,21.0
分拣中心_SC15,2023-12-15,16:00-24:00,8.0,20.0
分拣中心_SC15,2023-12-16,00:00-08:00,30.0,16.0
