分拣中心,日期,班次,正式工,临时工
分拣中心_SC47,2023-12-01,00:00-08:00,0.0,919.0
分拣中心_SC47,2023-12-01,05:00-13:00,60.0,288.0
分拣中心_SC47,2023-12-01,08:00-16:00,0.0,298.0
分拣中心_SC47,2023-12-01,12:00-20:00,0.0,258.0
分拣中心_SC47,2023-12-01,14:00-22:00,0.0,263.0
分拣中心_SC47,2023-12-01,16:00-24:00,0.0,361.0
分拣中心_SC47,2023-12-02,00:00-08:00,0.0,1059.0
分拣中心_SC47,2023-12-02,05:00-13:00,0.0,531.0
分拣中心_SC47,2023-12-02,08:00-16:00,0.0,372.0
分拣中心_SC47,2023-12-02,12:00-20:00,0.0,357.0
分拣中心_SC47,2023-12-02,14:00-22:00,60.0,206.0
分拣中心_SC47,2023-12-02,16:00-24:00,0.0,363.0
分拣中心_SC47,2023-12-03,00:00-08:00,0.0,979.0
分拣中心_SC47,2023-12-03,05:00-13:00,0.0,473.0
分拣中心_SC47,2023-12-03,08:00-16:00,0.0,325.0
分拣中心_SC47,2023-12-03,12:00-20:00,0.0,322.0
分拣中心_SC47,2023-12-03,14:00-22:00,0.0,267.0
分拣中心_SC47,2023-12-03,16:00-24:00,60.0,253.0
分拣中心_SC47,2023-12-04,00:00-08:00,0.0,811.0
分拣中心_SC47,2023-12-04,05:00-13:00,60.0,292.0
分拣中心_SC47,2023-12-04,08:00-16:00,0.0,284.0
分拣中心_SC47,2023-12-04,12:00-20:00,0.0,257.0
分拣中心_SC47,2023-12-04,14:00-22:00,0.0,269.0
分拣中心_SC47,2023-12-04,16:00-24:00,0.0,347.0
分拣中心_SC47,2023-12-05,00:00-08:00,0.0,869.0
分拣中心_SC47,2023-12-05,05:00-13:00,0.0,343.0
分拣中心_SC47,2023-12-05,08:00-16:00,0.0,303.0
分拣中心_SC47,2023-12-05,12:00-20:00,0.0,243.0
分拣中心_SC47,2023-12-05,14:00-22:00,0.0,245.0
分拣中心_SC47,2023-12-05,16:00-24:00,60.0,257.0
分拣中心_SC47,2023-12-06,00:00-08:00,0.0,995.0
分拣中心_SC47,2023-12-06,05:00-13:00,0.0,473.0
分拣中心_SC47,2023-12-06,08:00-16:00,0.0,355.0
分拣中心_SC47,2023-12-06,12:00-20:00,0.0,341.0
分拣中心_SC47,2023-12-06,14:00-22:00,0.0,263.0
分拣中心_SC47,2023-12-06,16:00-24:00,60.0,267.0
分拣中心_SC47,2023-12-07,00:00-08:00,0.0,945.0
分拣中心_SC47,2023-12-07,05:00-13:00,0.0,403.0
分拣中心_SC47,2023-12-07,08:00-16:00,0.0,318.0
分拣中心_SC47,2023-12-07,12:00-20:00,0.0,266.0
分拣中心_SC47,2023-12-07,14:00-22:00,0.0,254.0
分拣中心_SC47,2023-12-07,16:00-24:00,60.0,261.0
分拣中心_SC47,2023-12-08,00:00-08:00,0.0,919.0
分拣中心_SC47,2023-12-08,05:00-13:00,0.0,363.0
分拣中心_SC47,2023-12-08,08:00-16:00,0.0,298.0
分拣中心_SC47,2023-12-08,12:00-20:00,0.0,258.0
分拣中心_SC47,2023-12-08,14:00-22:00,0.0,263.0
分拣中心_SC47,2023-12-08,16:00-24:00,60.0,286.0
分拣中心_SC47,2023-12-09,00:00-08:00,0.0,1059.0
分拣中心_SC47,2023-12-09,05:00-13:00,0.0,531.0
分拣中心_SC47,2023-12-09,08:00-16:00,0.0,372.0
分拣中心_SC47,2023-12-09,12:00-20:00,0.0,357.0
分拣中心_SC47,2023-12-09,14:00-22:00,0.0,281.0
分拣中心_SC47,2023-12-09,16:00-24:00,60.0,288.0
分拣中心_SC47,2023-12-10,00:00-08:00,60.0,904.0
分拣中心_SC47,2023-12-10,05:00-13:00,0.0,473.0
分拣中心_SC47,2023-12-10,08:00-16:00,0.0,325.0
分拣中心_SC47,2023-12-10,12:00-20:00,0.0,322.0
分拣中心_SC47,2023-12-10,14:00-22:00,0.0,267.0
分拣中心_SC47,2023-12-10,16:00-24:00,0.0,328.0
分拣中心_SC47,2023-12-11,00:00-08:00,0.0,811.0
分拣中心_SC47,2023-12-11,05:00-13:00,0.0,367.0
分拣中心_SC47,2023-12-11,08:00-16:00,0.0,284.0
分拣中心_SC47,2023-12-11,12:00-20:00,0.0,257.0
分拣中心_SC47,2023-12-11,14:00-22:00,60.0,194.0
分拣中心_SC47,2023-12-11,16:00-24:00,0.0,347.0
分拣中心_SC47,2023-12-12,00:00-08:00,0.0,869.0
分拣中心_SC47,2023-12-12,05:00-13:00,0.0,343.0
分拣中心_SC47,2023-12-12,08:00-16:00,0.0,303.0
分拣中心_SC47,2023-12-12,12:00-20:00,0.0,243.0
分拣中心_SC47,2023-12-12,14:00-22:00,0.0,245.0
分拣中心_SC47,2023-12-12,16:00-24:00,60.0,257.0
分拣中心_SC47,2023-12-13,00:00-08:00,0.0,995.0
分拣中心_SC47,2023-12-13,05:00-13:00,60.0,398.0
分拣中心_SC47,2023-12-13,08:00-16:00,0.0,355.0
分拣中心_SC47,2023-12-13,12:00-20:00,0.0,341.0
分拣中心_SC47,2023-12-13,14:00-22:00,0.0,263.0
分拣中心_SC47,2023-12-13,16:00-24:00,0.0,342.0
分拣中心_SC47,2023-12-14,00:00-08:00,0.0,945.0
分拣中心_SC47,2023-12-14,05:00-13:00,0.0,403.0
分拣中心_SC47,2023-12-14,08:00-16:00,0.0,318.0
分拣中心_SC47,2023-12-14,12:00-20:00,0.0,266.0
分拣中心_SC47,2023-12-14,14:00-22:00,60.0,179.0
分拣中心_SC47,2023-12-14,16:00-24:00,0.0,336.0
分拣中心_SC47,2023-12-15,00:00-08:00,0.0,919.0
分拣中心_SC47,2023-12-15,05:00-13:00,0.0,363.0
分拣中心_SC47,2023-12-15,08:00-16:00,60.0,223.0
分拣中心_SC47,2023-12-15,12:00-20:00,0.0,258.0
分拣中心_SC47,2023-12-15,14:00-22:00,0.0,263.0
分拣中心_SC47,2023-12-15,16:00-24:00,0.0,361.0
分拣中心_SC47,2023-12-16,00:00-08:00,60.0,984.0
分拣中心_SC47,2023-12-16,05:00-13:00,0.0,531.0
分拣中心_SC47,2023-12-16,08:00-16:00,0.0,372.0
分拣中心_SC47,2023-12-16,12:00-20:00,0.0,357.0
分拣中心_SC47,2023-12-16,14:00-22:00,0.0,281.0
分拣中心_SC47,2023-12-16,16:00-24:00,0.0,363.0
分拣中心_SC47,2023-12-17,00:00-08:00,0.0,979.0
分拣中心_SC47,2023-12-17,05:00-13:00,0.0,473.0
分拣中心_SC47,2023-12-17,08:00-16:00,0.0,325.0
分拣中心_SC47,2023-12-17,12:00-20:00,60.0,247.0
分拣中心_SC47,2023-12-17,14:00-22:00,0.0,267.0
分拣中心_SC47,2023-12-17,16:00-24:00,0.0,328.0
分拣中心_SC47,2023-12-18,00:00-08:00,60.0,736.0
分拣中心_SC47,2023-12-18,05:00-13:00,0.0,367.0
分拣中心_SC47,2023-12-18,08:00-16:00,0.0,284.0
分拣中心_SC47,2023-12-18,12:00-20:00,0.0,257.0
分拣中心_SC47,2023-12-18,14:00-22:00,0.0,269.0
分拣中心_SC47,2023-12-18,16:00-24:00,0.0,347.0
分拣中心_SC47,2023-12-19,00:00-08:00,0.0,869.0
分拣中心_SC47,2023-12-19,05:00-13:00,0.0,343.0
分拣中心_SC47,2023-12-19,08:00-16:00,0.0,303.0
分拣中心_SC47,2023-12-19,12:00-20:00,0.0,243.0
分拣中心_SC47,2023-12-19,14:00-22:00,0.0,245.0
分拣中心_SC47,2023-12-19,16:00-24:00,60.0,257.0
分拣中心_SC47,2023-12-20,00:00-08:00,0.0,995.0
分拣中心_SC47,2023-12-20,05:00-13:00,0.0,473.0
分拣中心_SC47,2023-12-20,08:00-16:00,0.0,355.0
分拣中心_SC47,2023-12-20,12:00-20:00,60.0,266.0
分拣中心_SC47,2023-12-20,14:00-22:00,0.0,263.0
分拣中心_SC47,2023-12-20,16:00-24:00,0.0,342.0
分拣中心_SC47,2023-12-21,00:00-08:00,0.0,945.0
分拣中心_SC47,2023-12-21,05:00-13:00,0.0,403.0
分拣中心_SC47,2023-12-21,08:00-16:00,60.0,243.0
分拣中心_SC47,2023-12-21,12:00-20:00,0.0,266.0
分拣中心_SC47,2023-12-21,14:00-22:00,0.0,254.0
分拣中心_SC47,2023-12-21,16:00-24:00,0.0,336.0
分拣中心_SC47,2023-12-22,00:00-08:00,60.0,844.0
分拣中心_SC47,2023-12-22,05:00-13:00,0.0,363.0
分拣中心_SC47,2023-12-22,08:00-16:00,0.0,298.0
分拣中心_SC47,2023-12-22,12:00-20:00,0.0,258.0
分拣中心_SC47,2023-12-22,14:00-22:00,0.0,263.0
分拣中心_SC47,2023-12-22,16:00-24:00,0.0,361.0
分拣中心_SC47,2023-12-23,00:00-08:00,0.0,1059.0
