分拣中心,日期,班次,正式工,临时工
分拣中心_SC63,2023-12-01,00:00-08:00,3.0,71.0
分拣中心_SC63,2023-12-01,05:00-13:00,39.0,7.0
分拣中心_SC63,2023-12-01,08:00-16:00,7.0,15.0
分拣中心_SC63,2023-12-01,12:00-20:00,8.0,30.0
分拣中心_SC63,2023-12-01,14:00-22:00,0.0,36.0
分拣中心_SC63,2023-12-01,16:00-24:00,3.0,58.0
分拣中心_SC63,2023-12-02,00:00-08:00,7.0,160.0
分拣中心_SC63,2023-12-02,05:00-13:00,7.0,78.0
分拣中心_SC63,2023-12-02,08:00-16:00,7.0,38.0
分拣中心_SC63,2023-12-02,12:00-20:00,9.0,43.0
分拣中心_SC63,2023-12-02,14:00-22:00,24.0,14.0
分拣中心_SC63,2023-12-02,16:00-24:00,6.0,29.0
分拣中心_SC63,2023-12-03,00:00-08:00,8.0,145.0
分拣中心_SC63,2023-12-03,05:00-13:00,26.0,47.0
分拣中心_SC63,2023-12-03,08:00-16:00,13.0,18.0
分拣中心_SC63,2023-12-03,12:00-20:00,8.0,34.0
分拣中心_SC63,2023-12-03,14:00-22:00,2.0,4.0
分拣中心_SC63,2023-12-03,16:00-24:00,3.0,3.0
分拣中心_SC63,2023-12-04,00:00-08:00,8.0,152.0
分拣中心_SC63,2023-12-04,05:00-13:00,32.0,26.0
分拣中心_SC63,2023-12-04,08:00-16:00,3.0,28.0
分拣中心_SC63,2023-12-04,12:00-20:00,0.0,31.0
分拣中心_SC63,2023-12-04,14:00-22:00,8.0,6.0
分拣中心_SC63,2023-12-04,16:00-24:00,9.0,5.0
分拣中心_SC63,2023-12-05,00:00-08:00,6.0,157.0
分拣中心_SC63,2023-12-05,05:00-13:00,18.0,40.0
分拣中心_SC63,2023-12-05,08:00-16:00,17.0,4.0
分拣中心_SC63,2023-12-05,12:00-20:00,6.0,28.0
分拣中心_SC63,2023-12-05,14:00-22:00,8.0,5.0
分拣中心_SC63,2023-12-05,16:00-24:00,5.0,10.0
分拣中心_SC63,2023-12-06,00:00-08:00,22.0,171.0
分拣中心_SC63,2023-12-06,05:00-13:00,25.0,40.0
分拣中心_SC63,2023-12-06,08:00-16:00,4.0,33.0
分拣中心_SC63,2023-12-06,12:00-20:00,5.0,42.0
分拣中心_SC63,2023-12-06,14:00-22:00,4.0,30.0
分拣中心_SC63,2023-12-06,16:00-24:00,0.0,21.0
分拣中心_SC63,2023-12-07,00:00-08:00,6.0,97.0
分拣中心_SC63,2023-12-07,05:00-13:00,2.0,44.0
分拣中心_SC63,2023-12-07,08:00-16:00,18.0,20.0
分拣中心_SC63,2023-12-07,12:00-20:00,15.0,29.0
分拣中心_SC63,2023-12-07,14:00-22:00,6.0,13.0
分拣中心_SC63,2023-12-07,16:00-24:00,13.0,6.0
分拣中心_SC63,2023-12-08,00:00-08:00,6.0,67.0
分拣中心_SC63,2023-12-08,05:00-13:00,8.0,46.0
分拣中心_SC63,2023-12-08,08:00-16:00,3.0,21.0
分拣中心_SC63,2023-12-08,12:00-20:00,7.0,31.0
分拣中心_SC63,2023-12-08,14:00-22:00,4.0,31.0
分拣中心_SC63,2023-12-08,16:00-24:00,32.0,22.0
分拣中心_SC63,2023-12-09,00:00-08:00,7.0,160.0
分拣中心_SC63,2023-12-09,05:00-13:00,0.0,87.0
分拣中心_SC63,2023-12-09,08:00-16:00,11.0,33.0
分拣中心_SC63,2023-12-09,12:00-20:00,6.0,47.0
分拣中心_SC63,2023-12-09,14:00-22:00,7.0,35.0
分拣中心_SC63,2023-12-09,16:00-24:00,29.0,0.0
分拣中心_SC63,2023-12-10,00:00-08:00,35.0,111.0
分拣中心_SC63,2023-12-10,05:00-13:00,7.0,71.0
分拣中心_SC63,2023-12-10,08:00-16:00,5.0,28.0
分拣中心_SC63,2023-12-10,12:00-20:00,8.0,34.0
分拣中心_SC63,2023-12-10,14:00-22:00,2.0,4.0
分拣中心_SC63,2023-12-10,16:00-24:00,3.0,3.0
分拣中心_SC63,2023-12-11,00:00-08:00,9.0,151.0
分拣中心_SC63,2023-12-11,05:00-13:00,14.0,48.0
分拣中心_SC63,2023-12-11,08:00-16:00,14.0,15.0
分拣中心_SC63,2023-12-11,12:00-20:00,11.0,17.0
分拣中心_SC63,2023-12-11,14:00-22:00,7.0,7.0
分拣中心_SC63,2023-12-11,16:00-24:00,5.0,10.0
分拣中心_SC63,2023-12-12,00:00-08:00,14.0,147.0
分拣中心_SC63,2023-12-12,05:00-13:00,0.0,63.0
分拣中心_SC63,2023-12-12,08:00-16:00,11.0,11.0
分拣中心_SC63,2023-12-12,12:00-20:00,17.0,14.0
分拣中心_SC63,2023-12-12,14:00-22:00,12.0,0.0
分拣中心_SC63,2023-12-12,16:00-24:00,6.0,9.0
分拣中心_SC63,2023-12-13,00:00-08:00,2.0,196.0
分拣中心_SC63,2023-12-13,05:00-13:00,24.0,41.0
分拣中心_SC63,2023-12-13,08:00-16:00,7.0,30.0
分拣中心_SC63,2023-12-13,12:00-20:00,13.0,32.0
分拣中心_SC63,2023-12-13,14:00-22:00,4.0,29.0
分拣中心_SC63,2023-12-13,16:00-24:00,10.0,8.0
分拣中心_SC63,2023-12-14,00:00-08:00,7.0,96.0
分拣中心_SC63,2023-12-14,05:00-13:00,2.0,44.0
分拣中心_SC63,2023-12-14,08:00-16:00,11.0,28.0
分拣中心_SC63,2023-12-14,12:00-20:00,16.0,27.0
分拣中心_SC63,2023-12-14,14:00-22:00,8.0,11.0
分拣中心_SC63,2023-12-14,16:00-24:00,16.0,2.0
分拣中心_SC63,2023-12-15,00:00-08:00,5.0,69.0
分拣中心_SC63,2023-12-15,05:00-13:00,11.0,42.0
分拣中心_SC63,2023-12-15,08:00-16:00,14.0,7.0
分拣中心_SC63,2023-12-15,12:00-20:00,7.0,31.0
分拣中心_SC63,2023-12-15,14:00-22:00,4.0,31.0
分拣中心_SC63,2023-12-15,16:00-24:00,19.0,38.0
分拣中心_SC63,2023-12-16,00:00-08:00,26.0,136.0
分拣中心_SC63,2023-12-16,05:00-13:00,4.0,82.0
分拣中心_SC63,2023-12-16,08:00-16:00,6.0,39.0
分拣中心_SC63,2023-12-16,12:00-20:00,8.0,45.0
分拣中心_SC63,2023-12-16,14:00-22:00,7.0,35.0
分拣中心_SC63,2023-12-16,16:00-24:00,9.0,25.0
分拣中心_SC63,2023-12-17,00:00-08:00,8.0,145.0
分拣中心_SC63,2023-12-17,05:00-13:00,7.0,71.0
分拣中心_SC63,2023-12-17,08:00-16:00,14.0,17.0
分拣中心_SC63,2023-12-17,12:00-20:00,28.0,9.0
分拣中心_SC63,2023-12-17,14:00-22:00,0.0,7.0
分拣中心_SC63,2023-12-17,16:00-24:00,3.0,3.0
分拣中心_SC63,2023-12-18,00:00-08:00,4.0,157.0
分拣中心_SC63,2023-12-18,05:00-13:00,13.0,49.0
分拣中心_SC63,2023-12-18,08:00-16:00,9.0,21.0
分拣中心_SC63,2023-12-18,12:00-20:00,22.0,3.0
分拣中心_SC63,2023-12-18,14:00-22:00,7.0,7.0
分拣中心_SC63,2023-12-18,16:00-24:00,5.0,10.0
分拣中心_SC63,2023-12-19,00:00-08:00,6.0,157.0
分拣中心_SC63,2023-12-19,05:00-13:00,10.0,50.0
分拣中心_SC63,2023-12-19,08:00-16:00,13.0,9.0
分拣中心_SC63,2023-12-19,12:00-20:00,20.0,11.0
分拣中心_SC63,2023-12-19,14:00-22:00,8.0,5.0
分拣中心_SC63,2023-12-19,16:00-24:00,3.0,12.0
分拣中心_SC63,2023-12-20,00:00-08:00,9.0,187.0
分拣中心_SC63,2023-12-20,05:00-13:00,11.0,58.0
分拣中心_SC63,2023-12-20,08:00-16:00,0.0,38.0
分拣中心_SC63,2023-12-20,12:00-20:00,32.0,8.0
分拣中心_SC63,2023-12-20,14:00-22:00,4.0,29.0
分拣中心_SC63,2023-12-20,16:00-24:00,4.0,16.0
分拣中心_SC63,2023-12-21,00:00-08:00,7.0,96.0
分拣中心_SC63,2023-12-21,05:00-13:00,4.0,42.0
分拣中心_SC63,2023-12-21,08:00-16:00,23.0,13.0
分拣中心_SC63,2023-12-21,12:00-20:00,0.0,47.0
分拣中心_SC63,2023-12-21,14:00-22:00,7.0,12.0
分拣中心_SC63,2023-12-21,16:00-24:00,19.0,0.0
分拣中心_SC63,2023-12-22,00:00-08:00,20.0,50.0
分拣中心_SC63,2023-12-22,05:00-13:00,7.0,47.0
分拣中心_SC63,2023-12-22,08:00-16:00,6.0,17.0
分拣中心_SC63,2023-12-22,12:00-20:00,8.0,30.0
分拣中心_SC63,2023-12-22,14:00-22:00,11.0,22.0
分拣中心_SC63,2023-12-22,16:00-24:00,8.0,52.0
分拣中心_SC63,2023-12-23,00:00-08:00,6.0,161.0
分拣中心_SC63,2023-12-23,05:00-13:00,11.0,73.0
分拣中心_SC63,2023-12-23,08:00-16:00,0.0,47.0
分拣中心_SC63,2023-12-23,12:00-20:00,13.0,38.0
分拣中心_SC63,2023-12-23,14:00-22:00,21.0,17.0
