分拣中心,日期,班次,正式工,临时工
分拣中心_SC17,2023-12-01,00:00-08:00,0.0,408.0
分拣中心_SC17,2023-12-01,05:00-13:00,60.0,37.0
分拣中心_SC17,2023-12-01,08:00-16:00,0.0,42.0
分拣中心_SC17,2023-12-01,12:00-20:00,0.0,127.0
分拣中心_SC17,2023-12-01,14:00-22:00,0.0,202.0
分拣中心_SC17,2023-12-01,16:00-24:00,0.0,140.0
分拣中心_SC17,2023-12-02,00:00-08:00,0.0,463.0
分拣中心_SC17,2023-12-02,05:00-13:00,0.0,162.0
分拣中心_SC17,2023-12-02,08:00-16:00,0.0,111.0
分拣中心_SC17,2023-12-02,12:00-20:00,0.0,190.0
分拣中心_SC17,2023-12-02,14:00-22:00,60.0,152.0
分拣中心_SC17,2023-12-02,16:00-24:00,0.0,179.0
分拣中心_SC17,2023-12-03,00:00-08:00,0.0,442.0
分拣中心_SC17,2023-12-03,05:00-13:00,0.0,113.0
分拣中心_SC17,2023-12-03,08:00-16:00,0.0,88.0
分拣中心_SC17,2023-12-03,12:00-20:00,0.0,183.0
分拣中心_SC17,2023-12-03,14:00-22:00,0.0,211.0
分拣中心_SC17,2023-12-03,16:00-24:00,60.0,68.0
分拣中心_SC17,2023-12-04,00:00-08:00,0.0,411.0
分拣中心_SC17,2023-12-04,05:00-13:00,60.0,21.0
分拣中心_SC17,2023-12-04,08:00-16:00,0.0,37.0
分拣中心_SC17,2023-12-04,12:00-20:00,0.0,146.0
分拣中心_SC17,2023-12-04,14:00-22:00,0.0,206.0
分拣中心_SC17,2023-12-04,16:00-24:00,0.0,140.0
分拣中心_SC17,2023-12-05,00:00-08:00,0.0,414.0
分拣中心_SC17,2023-12-05,05:00-13:00,0.0,83.0
分拣中心_SC17,2023-12-05,08:00-16:00,0.0,30.0
分拣中心_SC17,2023-12-05,12:00-20:00,0.0,155.0
分拣中心_SC17,2023-12-05,14:00-22:00,0.0,214.0
分拣中心_SC17,2023-12-05,16:00-24:00,60.0,61.0
分拣中心_SC17,2023-12-06,00:00-08:00,0.0,440.0
分拣中心_SC17,2023-12-06,05:00-13:00,0.0,138.0
分拣中心_SC17,2023-12-06,08:00-16:00,0.0,65.0
分拣中心_SC17,2023-12-06,12:00-20:00,0.0,191.0
分拣中心_SC17,2023-12-06,14:00-22:00,0.0,225.0
分拣中心_SC17,2023-12-06,16:00-24:00,60.0,89.0
分拣中心_SC17,2023-12-07,00:00-08:00,0.0,425.0
分拣中心_SC17,2023-12-07,05:00-13:00,0.0,101.0
分拣中心_SC17,2023-12-07,08:00-16:00,0.0,49.0
分拣中心_SC17,2023-12-07,12:00-20:00,0.0,172.0
分拣中心_SC17,2023-12-07,14:00-22:00,0.0,218.0
分拣中心_SC17,2023-12-07,16:00-24:00,60.0,65.0
分拣中心_SC17,2023-12-08,00:00-08:00,0.0,408.0
分拣中心_SC17,2023-12-08,05:00-13:00,0.0,112.0
分拣中心_SC17,2023-12-08,08:00-16:00,0.0,42.0
分拣中心_SC17,2023-12-08,12:00-20:00,0.0,127.0
分拣中心_SC17,2023-12-08,14:00-22:00,0.0,202.0
分拣中心_SC17,2023-12-08,16:00-24:00,60.0,65.0
分拣中心_SC17,2023-12-09,00:00-08:00,0.0,463.0
分拣中心_SC17,2023-12-09,05:00-13:00,0.0,162.0
分拣中心_SC17,2023-12-09,08:00-16:00,0.0,111.0
分拣中心_SC17,2023-12-09,12:00-20:00,0.0,190.0
分拣中心_SC17,2023-12-09,14:00-22:00,0.0,227.0
分拣中心_SC17,2023-12-09,16:00-24:00,60.0,104.0
分拣中心_SC17,2023-12-10,00:00-08:00,60.0,367.0
分拣中心_SC17,2023-12-10,05:00-13:00,0.0,113.0
分拣中心_SC17,2023-12-10,08:00-16:00,0.0,88.0
分拣中心_SC17,2023-12-10,12:00-20:00,0.0,183.0
分拣中心_SC17,2023-12-10,14:00-22:00,0.0,211.0
分拣中心_SC17,2023-12-10,16:00-24:00,0.0,143.0
分拣中心_SC17,2023-12-11,00:00-08:00,0.0,411.0
分拣中心_SC17,2023-12-11,05:00-13:00,0.0,96.0
分拣中心_SC17,2023-12-11,08:00-16:00,0.0,37.0
分拣中心_SC17,2023-12-11,12:00-20:00,0.0,146.0
分拣中心_SC17,2023-12-11,14:00-22:00,60.0,131.0
分拣中心_SC17,2023-12-11,16:00-24:00,0.0,140.0
分拣中心_SC17,2023-12-12,00:00-08:00,0.0,414.0
分拣中心_SC17,2023-12-12,05:00-13:00,0.0,83.0
分拣中心_SC17,2023-12-12,08:00-16:00,0.0,30.0
分拣中心_SC17,2023-12-12,12:00-20:00,0.0,155.0
分拣中心_SC17,2023-12-12,14:00-22:00,0.0,214.0
分拣中心_SC17,2023-12-12,16:00-24:00,60.0,61.0
分拣中心_SC17,2023-12-13,00:00-08:00,0.0,440.0
分拣中心_SC17,2023-12-13,05:00-13:00,60.0,63.0
