SC_ID,date,value
SC32,2023/8/19,2733
SC32,2023/8/27,3544
SC32,2023/10/2,1585
SC32,2023/10/18,2519
SC32,2023/8/22,3232
SC32,2023/9/16,3107
SC32,2023/11/13,3521
SC32,2023/11/30,2788
SC32,2023/10/7,2222
SC32,2023/11/11,9849
SC32,2023/11/23,2340
SC32,2023/8/23,2988
SC32,2023/9/25,3317
SC32,2023/10/21,2156
SC32,2023/9/27,3683
SC32,2023/8/6,2524
SC32,2023/10/22,1568
SC32,2023/9/2,4187
SC32,2023/11/12,6424
SC32,2023/11/27,1946
SC32,2023/11/26,1363
SC32,2023/9/22,4070
SC32,2023/10/1,1836
SC32,2023/8/21,3114
SC32,2023/8/20,2306
SC32,2023/9/30,1751
SC32,2023/11/2,6410
SC32,2023/10/24,5667
SC32,2023/8/4,2909
SC32,2023/8/10,2778
SC32,2023/11/15,1737
SC32,2023/8/30,2609
SC32,2023/10/20,2925
SC32,2023/11/14,2031
SC32,2023/10/25,3745
SC32,2023/10/10,2297
SC32,2023/10/23,2882
SC32,2023/9/26,4232
SC32,2023/10/6,1908
SC32,2023/11/5,2312
SC32,2023/11/18,1665
SC32,2023/10/26,2869
SC32,2023/9/20,4533
SC32,2023/8/13,2558
SC32,2023/11/22,1965
SC32,2023/9/3,3262
SC32,2023/11/28,1962
SC32,2023/10/3,1737
SC32,2023/9/8,4408
SC32,2023/10/30,2865
SC32,2023/11/1,8842
SC32,2023/10/12,2388
SC32,2023/9/17,3337
SC32,2023/9/24,3657
SC32,2023/8/12,2792
SC32,2023/10/9,2716
SC32,2023/8/16,3507
SC32,2023/11/3,4369
SC32,2023/11/25,1469
SC32,2023/8/15,2906
SC32,2023/8/5,2856
SC32,2023/9/14,5148
SC32,2023/10/19,2660
SC32,2023/8/1,3817
SC32,2023/11/21,2067
SC32,2023/10/31,3481
SC32,2023/10/28,2250
SC32,2023/8/28,3838
SC32,2023/10/14,2170
SC32,2023/8/14,2599
SC32,2023/11/6,2431
SC32,2023/9/19,4256
SC32,2023/11/24,2187
SC32,2023/9/1,7082
SC32,2023/9/11,3114
SC32,2023/9/23,3851
SC32,2023/11/4,3352
SC32,2023/8/25,4040
SC32,2023/9/21,4144
SC32,2023/8/11,3429
SC32,2023/11/10,4244
SC32,2023/9/4,3487
SC32,2023/11/17,2126
SC32,2023/9/9,3787
SC32,2023/11/16,1909
SC32,2023/11/29,2188
SC32,2023/8/3,3217
SC32,2023/9/10,3050
SC32,2023/8/8,2962
SC32,2023/8/24,3712
SC32,2023/8/7,2793
SC32,2023/9/29,2340
SC32,2023/10/13,2388
SC32,2023/11/8,2864
SC32,2023/10/17,2530
SC32,2023/8/2,3498
SC32,2023/9/15,4577
SC32,2023/9/13,3725
SC32,2023/9/6,4225
SC32,2023/11/19,1536
SC32,2023/10/27,2518
SC32,2023/10/8,2421
SC32,2023/10/5,1719
SC32,2023/9/12,3860
SC32,2023/9/5,3978
SC32,2023/10/29,1917
SC32,2023/10/16,2615
SC32,2023/10/15,2271
SC32,2023/9/28,3212
SC32,2023/8/17,2782
SC32,2023/11/7,2955
SC32,2023/8/9,3138
SC32,2023/10/11,2393
SC32,2023/8/31,2522
SC32,2023/8/29,3247
SC32,2023/11/9,2832
SC32,2023/10/4,1662
SC32,2023/9/18,3722
SC32,2023/9/7,5844
SC32,2023/11/20,1846
SC32,2023/8/18,2829
SC32,2023/8/26,2872
